url,place_name,place_score,num_reviews,user_number_reviews,user_number_photos,time,score,text
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,72,,a year ago,5,My kids adore this playground!
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,1,1,3 years ago,5,"Great playground for our kids (3 and 6 yo). Ok bathrooms. Shaded, enclosed play area."
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,579,,a year ago,4,Large play area that connects to the park and board walk.
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,19,,3 years ago,4,It is big and has both a toddler and older children set. The train come by next to it and it's one of the major features.
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,,,2 years ago,4,Nice and clean toddler and kid park.
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,76,,3 years ago,4,Nice playground. Lots of kids here all the time. Older kids in the basketball court can be heard using foul language
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,135,,3 years ago,5,Always a great time with my daughter playing running around laughing plain good ole fun
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,153,,2 years ago,5,Great playground kids have a blast!
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,95,,a year ago,5,Great place for kids
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,,,2 years ago,5,"We like to take the kids there.. depending on the time of the day, it might be too crowded.."
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,,,a year ago,5,It's a great park to be at
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,150,150,a year ago,5,Always clean and friendly
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,14,,5 years ago,4,A well kept park with a modern architectural playground set for the kids.
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,8,,4 years ago,4,"Beautiful atmosphere, friendly people, nice views very different from the city in Philly."
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,34,,4 years ago,5,This a great playground. This is where my 30 year old balding friend Mark Jones plays basketball
"https://www.google.com/maps/place/Markward+Playground/@39.9488339,-75.1819837,17z/data=!4m7!3m6!1s0x89c6c646a3ad37fb:0xad138f611b1d3993!8m2!3d39.9488339!4d-75.1819837!9m1!1b1",Markward Playground,4.6,197,107,,a year ago,5,Great for our kids to play
